Sentence,Label
ਬਸ਼ ਰੱਬ ਮਹਿਰ ਕਰੇ,Blessing
ਬਹੁਤ ਵਧੀਆ ❤,Appreciation
ਵਾ ਗੱਗਲੋ,Appreciation
ਬਹੂਤ ਬਦੀਆ ਗੀਤ ਹੈ ਯੇ 🤟,Appreciation
ਵਧੀਆ ਗਾਣਾ 👍,Appreciation
ਬੱਲੇ ਭੈਣੇ ਮੇਰੀਏ ਕਮਾਲ ਏ ਭੈਣੇ,Appreciation
ਬਹੁਤ ਖੂਬਸੂਰਤ ਗੀਤ,Appreciation
ਗਾਇਕੀ ਛੱਡ ਰਾਜਨੀਤੀ ਵੱਲ ਜਾਣ ਦੀ ਲੋੜ ਸੀ ਗਗਨ ਜੀ,Disappointment
ਪੁੱਤ ਜੀ ਬਹੁਤ ਸੁੰਦਰ ਬਹੁਤ ਵਧੀਆ ਲੱਗਿਆ 👍,Appreciation
"ਅੱਜ ਕੈਬਨਟ ਮੰਤਰੀ ਚੁਣੇ ਜਾਣ ਤੇ ਬਹੁਤ ਬਹੁਤ ਮੁਬਾਰਕਾਂ ਅਨਮੋਲ ਗਗਨ ਮਾਨ ਨੂੰ.... 4-7-2022....ਆਪਣਾ ਚੰਗਾ ਭਲਾ ਕਰੀਅਰ ਛੱਡ ਕੇ ਸੱਚ ਦੀ ਸਰਕਾਰ ,ਲੋਕਾਂ ਦੀ ਸਰਕਾਰ  ਬਣਾ ਜਨਤਾ ਦੀ ਸੇਵਾ ਕਰਨ ਦਾ ਰਸਤਾ ਚੁਣਨਾ ਤੁਹਾਡੇ ਲਈ ਮਾਣ ਵਾਲੀ ਗੱਲ ਆ.....ਰੱਬ ਭਲਾ ਕਰੇ...",Blessing
ਵਾਕੇ ਅੱਤ ਕਰਵਾਤੀ👍👍👍👍👍👌👌👌👌👌,Appreciation
ਜੱਟੀ ਵੀ ਸਿਰੇ ਦੀ ਆਂ,Appreciation
ਵੈਰੀ ਗੁਡ,Appreciation
ਹੁਣ ਤਾਂ ਬੀਬਾ ਵੇਟ ਹੀ ਬਹੁਤ ਵਧਾ ਲਿਆ,Disappointment
ਲਿਖਾਰੀ ਜਿਉਂਦਾ ਰਿਹ,Appreciation
ਬਹੁਤ ਸੋਹਣਾ ਗਾਣਾ ਹੋਰ ਆਉਣ ਦਿਉ ਸੋਹਣਾ ਗਾਣਾ,Appreciation
ਝਡਪਢ,Disappointment
ਫੁਦੂ  ਸਾਲੀ 🤙🤙🤙,Hate
ਨਾਈਸ,Appreciation
ਅਨਮੋਲ ਗਗਨ ਤੂੰ ਗਾਣਿਆਂ ਚਿ ਤਰੱਕੀ ਕਰਨੀ ਆਂ ।ਆਮ ਪਾਰਟੀ ਚਿ ਤੈਨੂੰ ਧੋਖਾ ਹੀ ਮਿਲੇ ਗਾ ।ਸੋਚਣਾ ਜਰੂਰ ।ਧੰਨਵਾਦ ।,Neutral
ਸ਼ਰੀਕ ਨੇ ਕਮਾਈ ਕਰਨ ਲਾ ਦਿੱਤਾ ਕੀ ਮਾੜਾ ਕੀਤਾ ਬੱਲੀਏ,Disappointment
ਕਿਸਮਤ ਦਾ ਕੋਈ ਪਤਾ ਨਹੀਂ ਕਦੋਂ ਗੇੜਾ ਦੇ ਦੇਵੇ ਪੁਠੇ ਸਿੱਧੇ ਪਰ ਔਕਾਤ ਵਿੱਚ ਰਹਿਣਾ ਚਾਹੀਦਾ ਹੈ,Hate
"ਚਿੱਟਾ ਵੇਚਣ ਲਗ ਗਿਅਾ ਹੋਣਾ ਤਾਂਹੀ ਦਿਣਾ ਚ ਅਮੀਰ ਹੋਗਿਅਾ ,,, ਏ ਤਾਂ ਰਾਣੋ ਸਰਪੰਚ ਲਗਦੈ",Disappointment
ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ,Neutral
"ਖੇਤ ਚ ਖੂਹ
 ਖੂਹ ਚ ਡੱਡੂ
 ਡੱਡੂ ਦੇ ਦੋ ਕੰਨ 
ਡੱਡੂ ਮਾਨ ਦੀ ਭੈਣ ਦਾ ਫੁੱਦਾ ਤੇ ਉਹਦੇ ਫੈਨਾ ਦੀ ਮਾ ਦੀ ਲੱਨ",Hate
ਸਿਧੂਅਾ ਦੇ ਮੂੰਡੇ ਨਾਲ ਵੈਰ ਪਾੲੀ ਨਾਲ ੳੁਹਦੇ ਡੂੰਘੇ ਮਛਲੇ.dabbu di kteed di ma da fudda,Hate
ਸਿਧੂਅਾ ਦੇ ਮੂੰਡੇ ਨਾਲ ਵੈਰ ਪਾੲੀ ਨਾਲ ੳੁਹਦੇ ਡੂੰਘੇ ਮਛਲੇ..ਕਰਨ ਲਾਤਾ ਸੀ ਨਾ ਫੇਕ ਅਾੲੀ ਡੀ..ਕਲਪ  ਗੀ ਸੀ🤣🤣🤣🤣🤣,Hate
"ਤੈਨੂੰ ਕਿਹੜੀ ਸਾਹਿਬਾ ਨੇ 
ਚਿੱਠੀਆਂ ਪਾਉਣੀਆਂ ।",Hate
"Ma'am ji, first your's voice, your's music, your's lyrics,and Your's voice eco with beat so beautiful,no 1 👍in Punjabi industry.
ਜਦੋਂ ਅੰਗਰੇਜੀ ਤੇ ਦੇਸੀ ਦਾ ਮੇਲ ਹੁੰਦਾ ਲੈਂਦੀਂ ਨਿ

""ਤੁਹਾਨੂੰ ਤਾਂ ਰੱਬ ਨੇ ਆਪਣੇ ਕੋਲ ਬਿਠਾਇਆ ਹੈ ਜੀ""

Keep in touch jee",Hate
